title,date,details_url,content
A Multi-Pronged Approach to Impact Investing for Family Foundations,"April 12, 2017",http://pndblog.typepad.com/pndblog/2017/04/a-multi-pronged-approach-to-impact-investing-for-family-foundations.html?,"PhilanTopic addresses important issues and challenges in philanthropy and impact. In this piece, Tara Roth, president of the Goldhirsh Foundation, weighs in on early-stage investing, donor-advised funds, and social entrepreneurs."
"GOOD Lab Report: Leaders from Common Pool, Encore.org, and Johnson & Johnson Discuss Competitions for Social Impact","February 8, 2017",http://www.goodinc.com/news/blog/good-lab-report-leaders-from-common-pool-encoreorg-and-johnson--johnson-discuss-competitions-for-social-impact,"Competitions have emerged as a creative means by which corporations, foundations, universities, and even the government can engage innovators and generate breakthrough solutions. GOOD Lab: New York City assembled 65 multi sector leaders to discuss the ins and outs of competitions for impact—their types, opportunities, challenges, and trends."
LA Review of Books: Quarterly Journal Fall 2016,"January 6, 2017",https://lareviewofbooks.org/edition/quarterly-journal-fall-2016/,The new issue of the LARB Quarterly Journal is dedicated to the writers and artists of Los Angeles. Get your print or digital copy today!
My LA2050: Las iniciativas para un mejor Los Ángeles,"January 3, 2017",http://laopinion.com/2017/01/03/my-la2050-las-iniciativas-para-un-mejor-los-angeles/,La Opinion features some of the 2016 My LA2050 winners.
"Can a $100,000 grant revive the Triforium, L.A.'s 'weird, strange beacon'?","January 3, 2017",http://www.latimes.com/local/lanow/la-me-ln-triforium-renovation-20161217-story.html,Will the team behind the Triforium Project be able to navigate the hurdles that confounded the sculpture over 40 years ago?
2016 Techweek 100,"December 31, 2016",http://techweek.com/techweek100/#tw100_list,"The Techweek100 celebrates individuals and companies for their leadership, innovation, and support of the local tech ecosystem. Selected by the Techweek community, the list recognizes the most distinguished members of the burgeoning tech community in each city. The Goldhirsh Foundation was selected in the ""Cultivators"" category, which includes 25 VCs, incubators, educational institutions, and other organizations that support and enable the tech ecosystem"
"The Most Controversial Public Sculpture in the City Is Getting a $100,000 Upgrade","December 7, 2016",http://www.lamag.com/culturefiles/triforium-return-la2050-grant/,"Love it and/or hate it, the Triforium is finally going to live up to everything it was envisioned for—as a gathering place, as an interactive public artwork, as a blazing rainbow beacon of downtown as a place of progress and vitality. The sculpture is getting a triumphal return to the tune of $100,000, won through the LA2050 grant competition. The money will be used to replace the mostly burnt-out bulbs behind the handmade Italian glass prisms with working LEDs, update the wiring and computer system that runs the thing, and develop an app people can use to compose music for the Triforium to play."
Goldhirsh Foundation Awards $1 Million in Grants to 12 L.A.-Area Organization,"December 7, 2016",http://www.labusinessjournal.com/news/2016/dec/08/goldhirsh-foundation-awards-1-million-grants-12-l-/,"The Goldhirsh Foundation announced winners for its annual My LA2050 Grants Challenge Tuesday, a $1 million grant competition to source creative ideas about shaping the future of Los Angeles. The 12 winning organizations will receive grants ranging from $25,000 to $100,000 to implement projects in 2017 designed around themes that make Los Angeles the best place to learn, create, play, connect, and live."
"San Pedro, Long Beach Projects Win Grant Awards for 2017","December 6, 2016",http://www.dailybreeze.com/science/20161206/san-pedro-long-beach-projects-win-grant-awards-for-2017,"AltaSea, the marine research campus being built at San Pedro’s outer harbor, has received a $100,000 award for its STEM program through the My LA2050 Grants Challenge. Covenant House California also will receive $100,000, in partnership with a barber in Long Beach."
Goldhirsh Foundation gives $1M in grants via My LA2050 Grants Challenge,"December 6, 2016",https://web.archive.org/web/20161207225600/https://www.yahoo.com/news/goldhirsh-foundation-gives-1m-grants-via-la2050-grants-210100907.html,"Today, the Goldhirsh Foundation announced winners for its annual My LA2050 Grants Challenge, a $1M competition to source creative ideas about shaping the future of Los Angeles. The 12 winning organizations will receive grants ranging from $25,000 to $100,000 to implement projects in 2017 that make Los Angeles the best place to learn, create, play, connect, and live."
